# ieee-oui.txt -- Ethernet vendor OUI file for arp-scan
#
# This file contains the Ethernet vendor OUIs for arp-scan.  These are used
# to determine the vendor for a give Ethernet interface given the MAC address.
#
# Each line of this file contains an OUI-vendor mapping in the form:
#
# <OUI><TAB><Vendor>
#
# Where <OUI> is the first three bytes of the MAC address in hex, and <Vendor>
# is the name of the vendor.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-oui at 2017-03-03 14:08:26
# using data from http://linuxnet.ca/ieee/oui.txt
#
# Do not edit this file.  If you want to add additional MAC-Vendor mappings,
# edit the file mac-vendor.txt instead.
#
E043DB	Shenzhen ViewAt Technology Co. Ltd
D03E5C	Huawei Technologies Co. Ltd
C8A9FC	Goyoo Networks Inc.
C49FF3	Mciao Technologies, Inc.
80739F	KYOCERA Corporation
7C2BE1	Shenzhen Ferex Electrical Co. Ltd
30FFF6	HangZhou KuoHeng Technology Co. Ltd
5853C0	Beijing Guang Runtong Technology Development Company Co. Ltd
5031AD	ABB Global Industries and Services Private Limited
30A243	Shenzhen Prifox Innovation Technology Co. Ltd
2CA539	Parallel Wireless, Inc
FC335F	Polyera
FCC233	Private
A8C87F	Roqos, Inc.
C025A2	NEC Platforms Ltd
7853F2	ROXTON Ltd
ACBC32	Apple
94BBAE	Husqvarna AB
AC8995	Azurewave Technologies Inc.
F898B9	Huawei Technologies Co. Ltd
1C497B	Gemtek Technology Co. Ltd
2CCF58	Huawei Technologies Co. Ltd
54FF82	Davit Solution Co.
D445E8	Jiangxi Hongpai Technology Co. Ltd
847973	Shanghai Baud Data Communication Co. Ltd
906F18	Private
881B99	Shenzhen XIN FEI JIA Electronic Co. Ltd
681295	Lupine Lighting Systems GmbH
649A12	P2 Mobile Technologies Limited
E4C2D1	Huawei Technologies Co. Ltd
DC3CF6	Atomic Rules LLC
3C3178	Qolsys Inc.
F4573E	Fiberhome Telecommunication Technologies Co. Ltd
083A5C	Junilab, Inc.
4CAE31	ShengHai Electronics (Shenzhen) Ltd
F0D657	Echosens
24693E	innodisk Corporation
E48D8C	Routerboard.com
C0DC6A	Qingdao Eastsoft Communication Technology Co. Ltd
6459F8	Vodafone Omnitel B.V.
082CB0	Network Instruments
F0AB54	Mitsumi Electric Co. Ltd
485073	Microsoft Corporation
3CA31A	Oilfind International LLC
ACFD93	Weifang GoerTek Electronics Co. Ltd
A424DD	Cambrionix Ltd
88A2D7	Huawei Technologies Co. Ltd
D89A34	Beijing SHENQI Technology Co. Ltd
1CADD1	Bosung Electronics Co. Ltd
24E5AA	Philips Oral Healthcare, Inc.
88CBA5	Suzhou Torchstar Intelligent Technology Co. Ltd
046169	Media Global Links Co. Ltd
AC562C	Lava International(H.K) Limited
3CCE15	Mercedes-Benz USA, LLC
84DF19	Chuango Security Technology Corporation
3C4711	Huawei Technologies Co. Ltd
245BF0	Liteon, Inc.
FCFEC2	Invensys Controls UK Limited
E8F2E2	LG Innotek
AC676F	Electrocompaniet A.S.
4CB82C	Cambridge Mobile Telematics, Inc.
F0224E	Esan electronic Co.
B0411D	ITTIM Technologies
7CB25C	Acacia Communications
78EB39	Instituto Nacional de Tecnolog?a Industrial
7CC95A	EMC
ECEED8	ZTLX Network Technology Co. Ltd
F85B9C	SB SysTEMS Co. Ltd
7CA237	King Slide Technology Co. Ltd
300EE3	Aquantia Corporation
847303	Letv Mobile and Intelligent Information Technology (Beijing) Corporation Ltd
B0495F	OMRON HEALTHCARE Co. Ltd
BC6E64	Sony Mobile Communications AB
F44713	Leading Public Performance Co. Ltd
D4522A	TangoWiFi.com
B0ECE1	Private
407FE0	Glory Star Technics (ShenZhen) Limited
BC5C4C	Elecom Co. Ltd
6C5940	Shenzhen Mercury Communication Technologies Co. Ltd
6CA75F	zte Corporation
C8C50E	Shenzhen Primestone Network Technologies.Co. Ltd
9CBEE0	Biosoundlab Co. Ltd
5C5B35	Mist Systems, Inc.
E807BF	Shenzhen Boomtech Industry Co. Ltd
E8162B	IDEO Security Co. Ltd
709F2D	zte Corporation
ECE2FD	SKG Electric Group(Thailand) Co. Ltd
88E603	Avotek Corporation
74E28C	Microsoft Corporation
94F19E	Huizhou Maorong Intelligent Technology Co. Ltd
C4924C	Keisokuki Center Co. Ltd
E4F939	Minxon Hotel Technology Inc.
38C70A	WiFiSong
60E6BC	Sino-Telecom Technology Co. Ltd
1CA532	Shenzhen Gongjin Electronics Co. Ltd
486EFB	Davit System Technology Co. Ltd
340A22	TOP-Access Electronics Co Ltd
B008BF	Vital Connect, Inc.
485415	NET Rules Tecnologia Eireli
70C76F	Inno S
704E66	Shenzhen Fast Technologies Co. Ltd
409B0D	Shenzhen Yourf Kwan Industrial Co. Ltd
C40880	Shenzhen UTEPO Tech Co. Ltd
94C038	Tallac Networks
801967	Shanghai Reallytek Information Technology  Co. Ltd
6836B5	DriveScale, Inc.
2CF7F1	Seeed Technology Inc.
F88479	Yaojin Technology(Shenzhen)Co. Ltd
4C48DA	Beijing Autelan Technology Co. Ltd
90179B	Nanomegas
3077CB	Maike Industry(Shenzhen)Co. Ltd
3428F0	ATN International Limited
EC3C5A	Shen Zhen Heng Sheng HUI Digital Technology Co. Ltd
8C0551	Koubachi AG
D88466	Extreme Networks
E887A3	Loxley Public Company Limited
10FACE	Reacheng Communication Technology Co. Ltd
D8CB8A	Micro-Star INTL Co. Ltd
A8D0E3	Systech Electronics Ltd
8463D6	Microsoft Corporation
78B3B9	ShangHai sunup lighting Co. Ltd
F4EE14	Shenzhen Mercury Communication Technologies Co. Ltd
186571	Top Victory Electronics (Taiwan) Co. Ltd
F8BC41	Rosslare Enterprises Limited
8486F3	Greenvity Communications
205CFA	Yangzhou ChangLian Network Technology Co Ltd
8C18D9	Shenzhen RF Technology Co. Ltd
6099D1	Vuzix / Lenovo
34F6D2	Panasonic Taiwan Co. Ltd
DC2F03	Step forward Group Co. Ltd
582136	KMB Systems, s.r.o.
00AEFA	Murata Manufacturing Co. Ltd
5CAAFD	Sonos, Inc.
8CDF9D	NEC Corporation
F8E903	D-Link International
F0B052	Ruckus Wireless
6828F6	Vubiq Networks, Inc.
44356F	Neterix
742EFC	DirectPacket Research, Inc,
20C06D	Shenzhen Spacetek Technology Co. Ltd
3CB792	Hitachi Maxell Ltd, Optronics Division
7491BD	Four Systems Co. Ltd
D43266	Fike Corporation
948E89	Industrias Unidas SA de CV
9405B6	Liling FullRiver Electronics & Technology Ltd
382C4A	ASUSTek Computer Inc.
74547D	Cisco SPVTG
D48F33	Microsoft Corporation
1CA2B1	ruwido austria GmbH
945493	Rigado, LLC
34B7FD	Guangzhou Younghead Electronic Technology Co. Ltd
384B76	AIRTAME ApS
1C5216	Dongguan Hele Electronics Co. Ltd
34029B	CloudBerry Technologies Private Limited
70AF25	Nishiyama Industry Co. Ltd
B47C29	Shenzhen Guzidi Technology Co. Ltd
2C1A31	Electronics Company Limited
6C198F	D-Link International
60C1CB	Fujian Great Power PLC Equipment Co. Ltd
686E48	Prophet Electronic Technology Corp. Ltd
30F7D7	Thread Technology Co. Ltd
3808FD	Silca Spa
7C2587	chaowifi.com
2012D5	Scientech Materials Corporation
DC3979	Skyport Systems
EC1D7F	zte Corporation
AC11D3	Suzhou HOTEK  Video Technology Co. Ltd
304225	Burg-W?Chter KG
1C4840	IMS Messsysteme GmbH
F42853	Zioncom Electronics (Shenzhen) Ltd
3C46D8	TP-Link Technologies Co. Ltd
6C0273	Shenzhen Jin Yun Video Equipment Co. Ltd
F0761C	Compal Information (Kunshan) Co. Ltd
F42833	MMPC Inc.
244F1D	iRule LLC
BC9CC5	Beijing Huafei Technology Co. Ltd
505065	TAKT Corporation
A4A4D3	Bluebank Communication Technology Co.Ltd
74F413	Maxwell Forest
34F0CA	Shenzhen Linghangyuan Digital Technology Co. Ltd
84183A	Ruckus Wireless
30B5F1	Aitexin Technology Co. Ltd
882950	Dalian Netmoon Tech Develop Co. Ltd
08CD9B	samtec automotive electronics & software GmbH
28FCF6	Shenzhen Xin KingBrand enterprises Co. Ltd
4C26E7	Welgate Co. Ltd
94D60E	shenzhen yunmao Information technologies Co. Ltd
7C6AC3	GatesAir, Inc
3CCD5A	Technische Alternative GmbH
604826	Newbridge Technologies Int. Ltd
24D13F	Mexus Co. Ltd
702C1F	Wisol
9CBD9D	SkyDisk, Inc.
74C621	Zhejiang Hite Renewable Energy Co. Ltd
44C306	SIFROM Inc.
54A31B	Shenzhen Linkworld Technology Co,.Ltd
5CE7BF	New Singularity International Technical Development Co. Ltd
1CEEE8	Ilshin Elecom
6C641A	Penguin Computing
E036E3	Stage One International Co. Ltd
34DE34	zte Corporation
34466F	HiTEM Engineering
2C39C1	Ciena Corporation
6C2C06	OOO NPP Systemotechnika-NN
54EE75	Wistron InfoComm(Kunshan)Co. Ltd
60812B	Custom Control Concepts
F86601	Suzhou Chi-tek Information technology Co. Ltd
FC4AE9	Castlenet Technology Inc.
34E42A	Automatic Bar Controls Inc.
20A787	Bointec Taiwan Corporation Limited
6CAAB3	Ruckus Wireless
A481EE	Nokia Corporation
54C80F	TP-Link Technologies Co. Ltd
D42122	Sercomm Corporation
EC1766	Research Centre Module
7CFF62	Huizhou Super Electron Technology Co. Ltd
A0D12A	AXPRO Technology Inc.
30C750	MIC Technology Group
442938	NietZsche enterprise Co.Ltd
D881CE	AHN Inc.
E0D31A	EQUES Technology Co., Limited
9C3EAA	EnvyLogic Co. Ltd
909864	Impex-Sat GmbH&Co KG
DCE578	Experimental Factory Of Scientific Engineering and Special Design Department
949F3F	Optek Digital Technology Company limited
987770	Pep Digital Technology (Guangzhou) Co. Ltd
4411C2	Telegartner Karl Gartner GmbH
9451BF	Hyundai ESG
4C7F62	Nokia Corporation
841766	Weifang GoerTek Electronics Co. Ltd
F03FF8	R L Drake
B0C554	D-Link International
54D163	MAX-Tech,Inc
E41218	ShenZhen Rapoo Technology Co. Ltd
2C8A72	HTC Corporation
4486C1	Siemens Low Voltage & Products
C83168	eZEX Corporation
F84A73	Eumtech Co. Ltd
880F10	Huami Information Technology Co. Ltd
24336C	Private
C46BB4	myIDkey
ECE512	tado GmbH
30918F	Technicolor
FC09F6	Guangdong Tonze Electric Co. Ltd
687848	Westunitis Co. Ltd
A8B9B3	Essys
64B370	PowerComm Solutions LLC
D86595	Toy's Myth Inc.
D8DD5F	BALMUDA Inc.
88D962	Canopus Systems US LLC
24C848	mywerk System GmbH
2C18AE	Trend Electronics Co. Ltd
E097F2	Atomax Inc.
90F3B7	Kirisun Communications Co. Ltd
DCAD9E	GreenPriz
B4827B	AKG Acoustics GmbH
908C44	H.K Zongmu Technology Co. Ltd
0C473D	Hitron Technologies. Inc
4C5E0C	Routerboard.com
9CF8DB	shenzhen eyunmei technology Co,.Ltd
644214	Swisscom Energy Solutions AG
8CCDA2	ACTP, Inc.
CC720F	Viscount Systems Inc.
906717	Alphion India Private Limited
24050F	MTN Electronic Co. Ltd
40B6B1	SUNGSAM Co,.Ltd
98FF6A	OTEC(Shanghai)Technology Co. Ltd
AC6BAC	Jenny Science AG
707C18	ADATA Technology Co. Ltd
FC4B1C	Intersensor S.R.L.
1879A2	GMJ Electric Limited
E0C86A	SHENZHEN TW-SCIE Co. Ltd
80BAE6	Neets
3C18A0	Luxshare Precision Industry Co. Ltd
041A04	WaveIP
50206B	Emerson Climate Technologies Transportation Solutions
C8EE75	Pishion International Co. Ltd
CC3429	TP-Link Technologies Co. Ltd
407496	aFUN TECHNOLOGY Inc.
18C8E7	Shenzhen Hualistone Technology Co. Ltd
3CF748	Shenzhen Linsn Technology Development Co. Ltd
9C039E	Beijing Winchannel Software Technology Co. Ltd
F8A963	Compal Information (Kunshan) Co. Ltd
48A2B7	Kodofon JSC
443C9C	Pintsch Tiefenbach GmbH
F81CE5	Telefonbau Behnke GmbH
BC2D98	ThinGlobal LLC
7C72E4	Unikey Technologies
181BEB	Actiontec Electronics, Inc
CC7498	Filmetrics Inc.
7C6AB3	IBC Technologies Inc.
F0321A	Mita-Teknik A/S
4CD7B6	Helmer Scientific
746F3D	Contec GmbH
483D32	Syscor Controls & Automation
9031CD	Onyx Healthcare Inc.
A0E453	Sony Mobile Communications AB
404A18	Addrek Smart Solutions
C4C0AE	Midori Electronic Co. Ltd
90837A	General Electric Water & Process Technologies
089758	Shenzhen Strong Rising Electronics Co. Ltd DongGuan Subsidiary
B424E7	Codetek Technology Co. Ltd
44EE30	Budelmann Elektronik GmbH
38DBBB	Sunbow Telecom Co. Ltd
2493CA	Voxtronic Technology Computer-Systeme GmbH
688AB5	EDP Servicos
407A80	Nokia Corporation
F06130	Advantage Pharmacy Services, LLC
D481CA	iDevices, LLC
B898F7	Gionee Communication Equipment Co LtdShenZhen
C0F1C4	Pacidal Corporation Ltd
D858D7	CZ.NIC, z.s.p.o.
10B713	Private
E8E770	Warp9 Tech Design, Inc.
78CA5E	Elno
98FFD0	Lenovo Mobile Communication Technology Ltd
50A054	Actineon
48EE86	UTStarcom (China) Co. Ltd
5056A8	Jolla Ltd
D09D0A	Linkcom
54FB58	WISEWARE, Lda
C0A0BB	D-Link International
28A1EB	Etek Technology (Shenzhen) Co. Ltd
4CCBF5	zte Corporation
F0F5AE	Adaptrum Inc.
F42896	Specto Paineis Eletronicos Ltda
1C7B21	Sony Mobile Communications AB
BC9680	Shenzhen Gongjin Electronics Co. Ltd
9C2840	Discovery Technology Ltd.
F89FB8	YAZAKI Energy System Corporation
F037A1	Huike Electronics (SHENZHEN) Co. Ltd
6CD1B0	Wing Sing Electronics Hong Kong Limited
A4F522	Chofu Seisakusho Co. Ltd
7CE56B	ESEN Optoelectronics Technology Co. Ltd
CC4703	Intercon Systems Co. Ltd
5C3327	Spazio Italia srl
F85BC9	M-Cube Spa
8005DF	Montage Technology Group Limited
78E8B6	zte Corporation
041B94	Host Mobility AB
CC2A80	Micro-Biz Intelligence solutions Co. Ltd
3859F8	MindMade Sp. z o.o.
5C026A	Applied Vision Corporation
7CBD06	AE REFUsol
94BA56	Shenzhen Coship Electronics Co. Ltd
2894AF	Samhwa Telecom
740EDB	Optowiz Co. Ltd
00A2FF	abatec group AG
D095C7	Pantech Co. Ltd
D02C45	littleBits Electronics, Inc.
5027C7	TECHNART Co. Ltd
248000	Westcontrol AS
F84A7F	Innometriks Inc
58639A	TPL Systemes
0C9B13	Shanghai Magic Mobile Telecommunication Co.Ltd
3C15EA	Tescom Co. Ltd
B4CCE9	Prosyst
34A3BF	Terewave. Inc.
B0CE18	Zhejiang shenghui lighting Co. Ltd
503CC4	Lenovo Mobile Communication Technology Ltd
286D97	SAMJIN Co. Ltd
ACE42E	SK hynix
08EF3B	MCS Logic Inc.
806C8B	Kaeser Kompressoren AG
048C03	ThinPAD Technology (Shenzhen)Co. Ltd
84E629	Bluwan SA
34CD6D	CommSky Technologies
C47F51	Inventek Systems
E8D4E0	Beijing BenyWave Technology Co. Ltd
3889DC	Opticon Sensors Europe B.V.
681D64	Sunwave Communications Co. Ltd
F4CD90	Vispiron Rotec GmbH
E438F2	Advantage Controls
24C9A1	Ruckus Wireless
C8F386	Shenzhen Xiaoniao Technology Co. Ltd
E8CE06	SkyHawke Technologies, LLC.
B0808C	Laser Light Engines
C419EC	Qualisys AB
981094	Shenzhen Vsun Communication technology Co. Ltd
082719	APS Systems/electronic AG
D4AC4E	BODi rS, LLC
B03850	Nanjing CAS-ZDC IOT SysTEM Co. Ltd
C0DA74	Hangzhou Sunyard Technology Co. Ltd
34A843	KYOCERA Display Corporation
6C5779	Aclima, Inc.
40BD9E	Physio-Control, Inc
581CBD	Affinegy
F82BC8	Jiangsu Switter Co. Ltd
60C397	2Wire Inc.
3065EC	Wistron (ChongQing)
5CA3EB	Lokel s.r.o.
04DF69	Car Connectivity Consortium
28DB81	Shanghai Guao Electronic Technology Co. Ltd
9CB793	Creatcomm Technology Inc.
A0B100	ShenZhen Cando Electronics Co. Ltd
40560C	In Home Displays Ltd
9436E0	Sichuan Bihong Broadcast & Television New Technologies Co. Ltd
D4D50D	Southwest Microwave, Inc
B8CD93	Penetek, Inc
D8FEE3	D-Link International
F8516D	Denwa Technology Corp.
1078CE	Hanvit SI, Inc.
D8DA52	Apator S.A.
107A86	U&U Engineering Inc.
980D2E	HTC Corporation
842F75	Innokas Group
D4BF7F	Upvel
5061D6	Indu-Sol GmbH
68EC62	YODO Technology Corp. Ltd
F07F0C	Leopold Kostal GmbH &Co. KG
5C22C4	DAE EUN Electronics Co. Ltd
08482C	Raycore Taiwan Co. Ltd
F4B381	WindowMaster A/S
74F102	Beijing HCHCOM Technology Co. Ltd
080EA8	Velex s.r.l.
0086A0	Private
60FE1E	China Palms Telecom.Ltd
841E26	KERNEL-I Co. Ltd
349D90	Heinzmann GmbH & Co. KG
D4016D	TP-Link Technologies Co. Ltd
FC1186	Logic3 plc
50CD32	NanJing Chaoran Science & Technology Co. Ltd
683EEC	Ereca
44619C	FONsystem Co. Ltd
BCBAE1	AREC Inc.
18FA6F	ISC applied Systems Corp
9C9726	Technicolor
880905	MTMCommunications
C42628	Airo Wireless
745F00	Samsung Semiconductor Inc.
541FD5	Advantage Electronics
90FF79	Metro Ethernet Forum
E08177	GreenBytes, Inc.
48F230	Ubizcore Co. Ltd
B0C95B	Beijing Symtech Co. Ltd
DCA989	Macandc
C05E6F	V. Stonkaus firma Kodinis Raktas
6CD146	Smartek d.o.o.
E0C2B7	Masimo Corporation
F82EDB	RTW GmbH & Co. KG
60A44C	ASUSTek Computer Inc.
045FA7	Shenzhen Yichen Technology Development Co. Ltd
983F9F	China SSJ (Suzhou) Network Technology Inc.
F02329	Showa Denki Co. Ltd
6499A0	AG Elektronik AB
